Session,Player,Participant,Condition,Trial,CompletedThrows,Outcome,RadialError
10,2,20,Lit room,7,17,Hit,2.6247802060363283
10,2,20,Lit room,8,18,Miss,11.161291809194843
10,2,20,Lit room,9,19,Miss,14.601885020777297
10,2,20,Lit room,10,20,Miss,10.312704532274745
11,1,21,Dark room,1,1,Miss,5.922523916372139
11,1,21,Dark room,2,2,Miss,16.721164195414154
11,1,21,Dark room,3,3,Miss,9.529796742848193
11,1,21,Dark room,4,4,Miss,20.938349977493438
11,1,21,Dark room,5,5,Miss,11.078244567168575
11,1,21,Dark room,6,6,Miss,7.230505617866567
11,1,21,Dark room,7,7,Miss,13.643141729455131
11,1,21,Dark room,8,8,Miss,7.966604929328427
11,1,21,Dark room,9,9,Hit,0.8924016192275768
11,1,21,Dark room,10,10,Miss,8.296996604193591
11,1,21,Lit room,1,11,Miss,19.278547507527644
11,1,21,Lit room,2,12,Miss,14.799413034644317
11,1,21,Lit room,3,13,Miss,20.619713915086223
11,1,21,Lit room,4,14,Hit,4.089006560278434
11,1,21,Lit room,5,15,Miss,11.328129291723316
11,1,21,Lit room,6,16,Miss,27.239013326110033
11,1,21,Lit room,7,17,Miss,13.333236586065667
11,1,21,Lit room,8,18,Miss,18.35418881944938
11,1,21,Lit room,9,19,Miss,7.6556483840364615
11,1,21,Lit room,10,20,Miss,8.50494412974008
11,2,22,Dark room,1,1,Miss,14.983251391136713
11,2,22,Dark room,2,2,Hit,3.358087265096011
11,2,22,Dark room,3,3,Miss,8.528217108516863
11,2,22,Dark room,4,4,Miss,3.5703625054047228
11,2,22,Dark room,5,5,Miss,20.553402785183753
11,2,22,Dark room,6,6,Miss,9.410879931759816
11,2,22,Dark room,7,7,Miss,12.518973844528967
11,2,22,Dark room,8,8,Miss,23.719290497188155
11,2,22,Dark room,9,9,Miss,5.52189650391964
11,2,22,Dark room,10,10,Miss,12.066730560512232
11,2,22,Lit room,1,11,Miss,6.459129168858608
11,2,22,Lit room,2,12,Miss,13.411984528025648
11,2,22,Lit room,3,13,Miss,10.671717931054971
11,2,22,Lit room,4,14,Miss,16.013542437886755
11,2,22,Lit room,5,15,Hit,2.1443679091984276
11,2,22,Lit room,6,16,Miss,14.516498784831013
11,2,22,Lit room,7,17,Miss,6.53890302803153
11,2,22,Lit room,8,18,Hit,4.55246877199614
11,2,22,Lit room,9,19,Miss,10.978203962852936
11,2,22,Lit room,10,20,Miss,17.971455060734517
12,1,23,Dark room,1,1,Miss,4.619470078915978
12,1,23,Dark room,2,2,Miss,3.6995594778297587
12,1,23,Dark room,3,3,Hit,3.4570930968083458
12,1,23,Dark room,4,4,Miss,10.545450493933407
12,1,23,Dark room,5,5,Hit,3.7720084676469128
12,1,23,Dark room,6,6,Miss,16.57205096842273
12,1,23,Dark room,7,7,Miss,5.10469874233534
12,1,23,Dark room,8,8,Miss,12.38685456926011
12,1,23,Dark room,9,9,Miss,12.372812253485478
12,1,23,Dark room,10,10,Miss,10.583197835248086
12,1,23,Lit room,1,11,Miss,17.40139262990179
12,1,23,Lit room,2,12,Miss,18.711762153522585
